loan_amnt,int_rate,grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,term_months,emp_years
33021,16.2,C,MORTGAGE,49385,Source Verified,2018-09-01,Fully Paid,credit_card,GA,5.302134044968495,60,5
33319,5.2,A,RENT,113658,Source Verified,2016-03-01,Fully Paid,small_business,PA,13.243707932653994,60,8
22879,11.5,A,OWN,96900,Not Verified,2018-09-01,Fully Paid,car,PA,8.281997763810018,36,5
8304,15.4,B,RENT,98244,Not Verified,2015-10-01,Late (31-120 days),car,GA,24.79462528080184,60,4
25147,6.8,G,RENT,95425,Not Verified,2016-04-01,Charged Off,medical,GA,14.572249169621788,36,9
26616,12.0,B,MORTGAGE,108518,Not Verified,2015-12-01,Charged Off,small_business,OH,28.015379852109845,36,6
23237,5.7,C,OWN,112844,Not Verified,2017-03-01,Fully Paid,home_improvement,PA,11.207485620383508,60,0
18808,6.6,A,RENT,62919,Source Verified,2017-07-01,Charged Off,small_business,PA,32.007045722963284,36,6
11585,12.9,C,RENT,120697,Verified,2018-11-01,Fully Paid,small_business,MI,20.689445453174976,36,2
34235,7.7,B,MORTGAGE,87196,Not Verified,2017-10-01,Fully Paid,small_business,PA,8.435185894069441,36,8
22675,16.4,B,RENT,145600,Not Verified,2017-04-01,Fully Paid,home_improvement,GA,17.025357069604368,36,5
24965,18.8,C,OWN,130625,Verified,2017-03-01,Fully Paid,medical,CA,11.202815722092849,60,8
16649,21.0,A,OWN,109401,Verified,2015-12-01,Fully Paid,home_improvement,IL,10.990562785045377,36,4
28938,9.0,A,RENT,30495,Verified,2017-11-01,Fully Paid,major_purchase,NY,20.191092129566268,60,6
28664,8.3,B,RENT,74755,Verified,2018-01-01,Fully Paid,medical,GA,25.15676046909118,60,3
6636,7.1,A,RENT,97684,Verified,2017-10-01,Fully Paid,major_purchase,PA,32.348546165102846,36,6
25080,17.7,A,MORTGAGE,63324,Verified,2017-06-01,Late (16-30 days),major_purchase,TX,20.064860322909603,60,0
32575,19.1,B,OWN,108929,Source Verified,2015-05-01,Fully Paid,major_purchase,OH,33.975163251749905,60,6
32728,5.6,E,MORTGAGE,31552,Verified,2017-02-01,Charged Off,car,OH,33.24904556220106,60,7
22082,23.7,C,MORTGAGE,81272,Verified,2018-02-01,Fully Paid,credit_card,IL,30.95187589953081,36,4
31736,6.0,C,MORTGAGE,65853,Source Verified,2016-06-01,Fully Paid,credit_card,GA,19.99931794887256,60,1
33673,15.8,B,OWN,148192,Verified,2017-11-01,Late (16-30 days),major_purchase,IL,9.227118310639506,60,4
9737,19.2,F,OWN,62924,Not Verified,2018-08-01,Fully Paid,major_purchase,CA,11.537134094461548,60,5
19555,22.4,B,MORTGAGE,104462,Not Verified,2016-11-01,Fully Paid,debt_consolidation,NC,24.430100081359267,36,1
18877,19.3,A,MORTGAGE,126387,Verified,2015-02-01,Charged Off,vacation,FL,17.652649408525882,60,5
5854,21.0,C,OWN,53889,Source Verified,2015-02-01,Fully Paid,credit_card,TX,9.404048952619892,36,5
29548,11.8,A,MORTGAGE,135466,Not Verified,2016-01-01,Current,vacation,FL,19.369818009179312,36,0
10855,21.3,B,RENT,84675,Source Verified,2018-02-01,Fully Paid,vacation,NC,5.522916365061378,36,0
12392,6.6,C,OWN,103591,Not Verified,2018-07-01,Fully Paid,debt_consolidation,TX,27.0168611269878,36,10
27912,22.9,E,RENT,100190,Verified,2016-05-01,Fully Paid,vacation,FL,7.207438834690726,36,9
33050,16.0,C,RENT,52634,Source Verified,2015-12-01,Fully Paid,medical,TX,23.87340859736357,36,2
18949,21.3,D,RENT,62363,Source Verified,2018-06-01,Current,debt_consolidation,IL,28.79030922876798,60,9
26633,14.0,G,MORTGAGE,93752,Source Verified,2015-08-01,Charged Off,vacation,NY,8.979316233618967,36,9
26556,17.9,A,OWN,107004,Not Verified,2018-03-01,Fully Paid,vacation,MI,20.559160719980376,60,2
23091,15.5,B,RENT,86398,Not Verified,2015-11-01,Fully Paid,small_business,TX,28.37202543078409,60,3
32353,19.6,B,OWN,128458,Not Verified,2018-11-01,Charged Off,vacation,NC,12.819003642710042,36,1
10791,6.6,B,OWN,70718,Verified,2016-01-01,Fully Paid,car,IL,9.887497790048574,60,8
31309,6.2,B,RENT,143627,Not Verified,2018-08-01,Fully Paid,medical,MI,15.104573329023706,60,9
26919,9.9,F,MORTGAGE,112916,Verified,2015-05-01,Fully Paid,home_improvement,IL,21.640975297499477,60,10
9931,8.2,D,MORTGAGE,56870,Source Verified,2015-08-01,Fully Paid,credit_card,CA,22.2583878456425,60,6
24894,22.4,C,MORTGAGE,67394,Source Verified,2016-10-01,Charged Off,major_purchase,PA,8.92629000373061,36,6
5202,9.4,B,MORTGAGE,82057,Verified,2018-09-01,Late (16-30 days),vacation,OH,18.72706543021915,60,5
16447,24.5,E,OWN,109795,Not Verified,2017-07-01,Fully Paid,medical,CA,13.048465866184635,36,2
25602,11.7,F,RENT,110409,Verified,2017-02-01,Fully Paid,major_purchase,NC,30.26072654194852,60,5
17688,8.6,E,RENT,43016,Source Verified,2016-05-01,Fully Paid,home_improvement,GA,14.407253961920922,60,7
30342,20.8,A,RENT,72137,Source Verified,2016-04-01,Fully Paid,medical,GA,30.161135736015787,36,7
9389,18.2,C,MORTGAGE,30153,Verified,2017-09-01,Fully Paid,credit_card,OH,17.856938378053762,60,10
7327,15.0,A,RENT,37853,Not Verified,2016-12-01,Current,medical,IL,26.7975729747936,60,8
13004,16.1,B,RENT,42379,Not Verified,2016-07-01,Fully Paid,major_purchase,NY,20.301806856324312,60,0
24315,19.4,A,MORTGAGE,45792,Verified,2016-08-01,Fully Paid,major_purchase,NC,23.65887872392929,36,0
12777,9.6,C,MORTGAGE,68367,Verified,2017-06-01,Fully Paid,small_business,OH,16.860695325841494,60,2
5197,24.9,D,MORTGAGE,48100,Not Verified,2017-08-01,Fully Paid,vacation,MI,28.04620303422472,36,2
28509,24.5,A,RENT,143089,Source Verified,2017-11-01,Fully Paid,debt_consolidation,MI,17.75568150720975,60,9
6930,18.0,B,RENT,93456,Verified,2016-01-01,Current,medical,GA,18.723849397574657,36,7
16774,9.0,C,RENT,41049,Not Verified,2018-06-01,Fully Paid,major_purchase,PA,20.53036004692872,36,9
20087,18.6,B,RENT,30786,Not Verified,2015-06-01,Charged Off,car,IL,29.954723551579505,60,0
27671,6.4,A,RENT,99904,Source Verified,2018-11-01,Fully Paid,credit_card,GA,24.781367858043943,60,1
30184,5.6,B,OWN,60699,Source Verified,2016-08-01,Fully Paid,car,NY,15.474811596972494,36,1
32848,10.2,D,MORTGAGE,77691,Source Verified,2017-12-01,Fully Paid,home_improvement,OH,25.10958901944629,36,2
14339,14.3,A,RENT,67040,Source Verified,2015-01-01,Fully Paid,medical,TX,24.27279719025732,60,5
25666,22.4,A,MORTGAGE,148455,Source Verified,2016-04-01,Fully Paid,small_business,NY,32.93057827639113,36,0
16589,19.5,B,MORTGAGE,122990,Verified,2015-09-01,Fully Paid,credit_card,TX,30.2424930807605,60,1
23895,19.9,F,RENT,87986,Not Verified,2015-12-01,Charged Off,small_business,IL,24.423407712537443,60,0
20708,13.5,D,MORTGAGE,68762,Verified,2016-05-01,Charged Off,debt_consolidation,OH,15.245213320521309,60,4
31370,11.9,D,RENT,53600,Verified,2015-05-01,Fully Paid,major_purchase,MI,28.387293465838084,60,6
22043,12.4,B,RENT,124774,Verified,2016-10-01,Fully Paid,vacation,MI,22.25624879188403,36,7
7811,24.8,C,MORTGAGE,120777,Verified,2017-08-01,Fully Paid,credit_card,CA,34.55809964302705,60,9
28482,5.8,A,RENT,49810,Verified,2015-09-01,Fully Paid,home_improvement,MI,12.42518385709412,36,0
19243,22.3,C,MORTGAGE,115703,Source Verified,2018-01-01,Fully Paid,vacation,NC,7.389675227926609,60,6
11546,16.6,F,RENT,117347,Source Verified,2017-09-01,Current,medical,CA,7.096754356638431,36,4
30945,13.8,C,OWN,135315,Not Verified,2016-08-01,Fully Paid,debt_consolidation,CA,24.20091165055041,60,9
6986,19.5,E,OWN,87204,Verified,2015-09-01,Fully Paid,debt_consolidation,MI,33.17780686734572,36,0
13338,14.7,D,RENT,50085,Not Verified,2017-09-01,Fully Paid,small_business,GA,5.057957428745156,36,2
16411,22.5,A,RENT,76854,Source Verified,2018-11-01,Fully Paid,debt_consolidation,PA,26.77313140873332,60,6
7911,23.0,F,MORTGAGE,104797,Source Verified,2015-10-01,Charged Off,credit_card,PA,24.71195547598836,60,9
6734,13.4,A,MORTGAGE,114269,Source Verified,2015-01-01,Fully Paid,small_business,NC,26.96912576658397,60,0
23227,10.5,C,MORTGAGE,69779,Verified,2017-09-01,Fully Paid,vacation,FL,15.662162202870068,60,6
13680,16.8,A,OWN,86207,Verified,2018-06-01,Charged Off,debt_consolidation,GA,29.61489333973565,36,4
24360,23.2,A,MORTGAGE,124615,Source Verified,2015-07-01,Fully Paid,medical,FL,6.341207942565859,60,0
23343,9.2,B,MORTGAGE,63980,Not Verified,2016-10-01,Current,vacation,TX,27.662933018660823,36,0
10759,17.5,B,MORTGAGE,86117,Not Verified,2018-07-01,Fully Paid,home_improvement,GA,13.012158240472631,36,0
28078,17.6,C,OWN,44141,Source Verified,2015-08-01,Fully Paid,medical,OH,19.305133245742148,60,10
7385,19.7,C,MORTGAGE,39344,Not Verified,2016-08-01,Charged Off,car,FL,29.679088146716616,36,8
16111,7.6,A,MORTGAGE,135008,Source Verified,2015-04-01,Fully Paid,credit_card,NC,13.14077105573411,36,10
9736,19.3,A,RENT,45896,Not Verified,2018-12-01,Fully Paid,home_improvement,NC,10.556225349316804,36,2
6802,23.2,C,MORTGAGE,119353,Source Verified,2015-03-01,Fully Paid,home_improvement,GA,25.439395560436527,36,4
13155,8.6,B,OWN,59813,Not Verified,2017-04-01,Fully Paid,small_business,CA,21.001846745204137,60,10
13120,9.8,D,RENT,114431,Verified,2017-06-01,Charged Off,major_purchase,OH,20.432116062385536,60,9
11616,24.4,D,RENT,95679,Source Verified,2018-07-01,Current,small_business,IL,12.703085466137397,60,8
19257,8.6,E,RENT,40681,Source Verified,2018-04-01,Late (16-30 days),credit_card,OH,6.0464091746008295,60,5
19486,22.1,D,OWN,102903,Not Verified,2016-07-01,Charged Off,credit_card,NC,17.308074149951505,36,8
26918,14.8,B,MORTGAGE,33228,Source Verified,2018-11-01,Fully Paid,small_business,TX,8.19678441403304,36,7
25445,9.9,D,RENT,34582,Source Verified,2016-01-01,Fully Paid,major_purchase,FL,32.179674519476066,60,7
32945,22.4,B,MORTGAGE,108683,Source Verified,2017-11-01,Fully Paid,medical,FL,6.237509704151916,60,0
21646,13.9,B,MORTGAGE,41397,Verified,2017-12-01,Fully Paid,small_business,TX,17.949525625531443,60,8
19075,15.3,D,RENT,68799,Verified,2017-11-01,Fully Paid,credit_card,NY,6.567367511024837,36,5
27671,12.2,B,MORTGAGE,67011,Not Verified,2016-07-01,Late (31-120 days),major_purchase,GA,7.866316236942989,60,8
30199,16.9,D,MORTGAGE,109183,Verified,2018-10-01,Fully Paid,credit_card,NC,24.76600000766066,60,2
14208,8.3,E,MORTGAGE,123254,Not Verified,2015-09-01,Fully Paid,major_purchase,PA,24.41333782922284,60,2
21371,12.8,E,MORTGAGE,74264,Verified,2015-02-01,Fully Paid,major_purchase,MI,5.991565846383193,36,5
16835,24.4,F,MORTGAGE,72317,Not Verified,2017-07-01,Current,vacation,TX,5.033944253626106,36,8
18168,10.2,B,MORTGAGE,77914,Verified,2015-04-01,Charged Off,small_business,TX,7.36454231728352,36,6
7049,18.1,B,RENT,114633,Verified,2018-08-01,Charged Off,small_business,OH,27.889966931358263,36,2
10423,11.5,C,MORTGAGE,132489,Not Verified,2016-01-01,Fully Paid,small_business,GA,22.537294182545214,36,2
19589,20.5,B,MORTGAGE,75254,Source Verified,2018-02-01,Current,major_purchase,GA,6.143547355654748,36,1
33299,7.6,C,OWN,70096,Source Verified,2017-12-01,Fully Paid,major_purchase,PA,19.642910476184817,36,8
25932,24.4,D,RENT,83785,Verified,2017-08-01,Current,credit_card,MI,26.36088071163354,36,2
24492,14.1,D,MORTGAGE,82344,Not Verified,2018-01-01,Fully Paid,home_improvement,GA,31.06854183802419,60,10
34855,9.7,B,RENT,144988,Source Verified,2018-10-01,Fully Paid,small_business,CA,33.02109471977032,60,4
33666,6.5,A,MORTGAGE,112643,Not Verified,2015-05-01,Fully Paid,vacation,NC,14.823216888622,36,8
12158,8.4,B,RENT,98546,Source Verified,2018-07-01,Charged Off,car,CA,9.074972852397972,36,7
15248,15.4,A,RENT,101091,Not Verified,2015-11-01,Fully Paid,credit_card,NY,12.107777621943423,60,1
12400,11.7,E,OWN,95603,Verified,2015-07-01,Current,credit_card,NC,28.285144761206716,36,2
24554,21.6,B,RENT,58412,Not Verified,2018-05-01,Fully Paid,debt_consolidation,IL,34.144526451269314,36,1
14874,13.6,A,MORTGAGE,140489,Source Verified,2017-10-01,Fully Paid,small_business,NC,18.991808520811414,36,7
20151,10.0,A,MORTGAGE,81658,Verified,2015-06-01,Fully Paid,medical,NC,14.160596406433694,60,5
23639,17.3,C,MORTGAGE,129841,Not Verified,2017-12-01,Fully Paid,credit_card,PA,17.875717458801034,60,5
6154,19.1,C,RENT,79549,Source Verified,2017-09-01,Fully Paid,debt_consolidation,CA,14.144394339353973,60,8
9499,8.3,B,RENT,41549,Verified,2017-03-01,Fully Paid,car,MI,12.69462569621463,60,7
11295,8.4,A,MORTGAGE,101216,Not Verified,2017-07-01,Charged Off,vacation,OH,22.812522572215386,60,3
27581,5.7,B,MORTGAGE,55739,Source Verified,2018-06-01,Fully Paid,car,PA,5.472079411206332,36,3
32767,19.7,B,OWN,51209,Not Verified,2016-03-01,Late (16-30 days),medical,NC,12.786567459949644,60,8
31272,18.3,D,OWN,137051,Not Verified,2015-07-01,Fully Paid,small_business,OH,24.84146233534967,36,0
17183,14.5,C,RENT,117968,Verified,2016-07-01,Current,major_purchase,FL,5.961880889204151,36,1
34299,21.9,B,MORTGAGE,45116,Verified,2016-06-01,Fully Paid,debt_consolidation,OH,7.49605449526805,60,1
17874,21.1,B,MORTGAGE,50045,Source Verified,2015-08-01,Fully Paid,major_purchase,TX,13.801884343573544,60,5
23032,16.7,G,RENT,56327,Verified,2017-04-01,Fully Paid,car,PA,31.334143958269543,36,3
10539,22.4,C,RENT,65709,Source Verified,2016-01-01,Fully Paid,car,PA,27.946584804958885,36,10
14637,9.1,D,MORTGAGE,73617,Not Verified,2016-01-01,Current,home_improvement,TX,5.664698882487306,36,9
25583,7.2,A,RENT,90139,Not Verified,2018-12-01,Fully Paid,home_improvement,FL,20.05138450065476,60,2
33499,10.4,C,RENT,56905,Source Verified,2018-11-01,Fully Paid,vacation,GA,13.240624819622504,60,2
29829,6.1,A,OWN,94148,Not Verified,2017-08-01,Current,medical,GA,24.459369771861887,60,2
20586,15.6,C,RENT,102603,Verified,2016-12-01,Fully Paid,home_improvement,GA,26.646616477803835,60,5
32759,23.7,F,RENT,128095,Not Verified,2018-01-01,Charged Off,home_improvement,GA,30.885877313878478,60,7
7557,5.8,B,MORTGAGE,149779,Verified,2016-11-01,Fully Paid,medical,CA,19.26248711312043,36,10
10592,7.4,A,MORTGAGE,72919,Source Verified,2018-02-01,Current,credit_card,TX,34.833502656367536,60,6
21482,14.0,A,MORTGAGE,113521,Source Verified,2018-01-01,Fully Paid,home_improvement,FL,34.39958321861328,36,3
7200,23.7,B,MORTGAGE,122905,Not Verified,2018-03-01,Fully Paid,credit_card,NC,31.465001734130997,36,10
19172,11.3,A,OWN,113400,Not Verified,2018-08-01,Fully Paid,credit_card,NY,22.24608485474213,36,3
7961,15.1,A,MORTGAGE,118150,Verified,2016-06-01,Late (31-120 days),small_business,PA,16.94019312511445,60,10
19207,5.8,D,RENT,88446,Verified,2015-05-01,Fully Paid,credit_card,OH,15.93158930419355,60,9
26357,8.0,C,MORTGAGE,82428,Not Verified,2018-09-01,Fully Paid,credit_card,GA,5.363742502632345,60,10
25817,24.7,B,MORTGAGE,77894,Not Verified,2017-10-01,Charged Off,home_improvement,OH,12.475234917270996,36,10
16969,24.3,F,RENT,111149,Source Verified,2018-12-01,Late (31-120 days),credit_card,NY,26.564247048474936,36,10
7869,5.1,A,RENT,36447,Source Verified,2017-12-01,Current,major_purchase,PA,23.108962996791995,36,1
32810,24.0,F,OWN,35499,Source Verified,2017-01-01,Late (16-30 days),medical,IL,32.492665675026004,36,0
33367,17.8,B,RENT,69041,Not Verified,2017-09-01,Fully Paid,home_improvement,MI,6.500668007496736,36,8
22340,22.4,E,RENT,61315,Not Verified,2018-10-01,Fully Paid,medical,FL,9.658298095319918,36,1
18992,14.1,C,MORTGAGE,31299,Not Verified,2018-12-01,Charged Off,debt_consolidation,CA,28.677313680563906,60,7
33643,15.3,E,MORTGAGE,135005,Source Verified,2017-09-01,Current,home_improvement,OH,15.755228935860014,60,8
29736,14.8,G,OWN,34994,Not Verified,2017-02-01,Fully Paid,credit_card,GA,8.550360011536338,60,3
10699,18.3,B,RENT,125414,Verified,2016-06-01,Fully Paid,major_purchase,TX,34.893515153002674,60,7
28328,7.8,F,RENT,111163,Not Verified,2017-12-01,Current,medical,OH,28.61750908008089,36,8
25877,5.6,B,MORTGAGE,37489,Not Verified,2017-04-01,Fully Paid,home_improvement,PA,17.262231102743677,36,9
30876,11.2,B,OWN,121647,Not Verified,2016-02-01,Fully Paid,major_purchase,IL,29.70042430838421,60,9
26295,19.1,B,RENT,62355,Not Verified,2016-08-01,Fully Paid,medical,FL,25.4181161035746,36,4
8987,9.0,C,OWN,103805,Not Verified,2016-09-01,Fully Paid,debt_consolidation,TX,28.699242787095,60,6
31103,18.5,A,RENT,98367,Verified,2016-05-01,Current,car,MI,29.456191326969492,60,9
27399,24.4,C,OWN,139906,Verified,2015-08-01,Fully Paid,vacation,PA,7.5418604987095375,60,3
18446,6.9,C,MORTGAGE,147409,Not Verified,2018-10-01,Charged Off,vacation,IL,23.68918663064287,36,0
6218,18.5,D,OWN,107355,Source Verified,2017-06-01,Fully Paid,debt_consolidation,TX,5.203566589304828,60,2
25880,13.9,E,MORTGAGE,146220,Not Verified,2016-11-01,Fully Paid,car,MI,6.303687389035119,60,4
9735,22.4,B,RENT,120349,Not Verified,2015-08-01,Charged Off,small_business,OH,32.119400271675225,60,2
16296,8.5,B,MORTGAGE,117173,Not Verified,2015-12-01,Fully Paid,car,PA,20.826911640704168,36,10
32311,18.9,B,MORTGAGE,31996,Source Verified,2016-12-01,Fully Paid,small_business,NC,27.077059576055746,36,6
9555,21.8,A,RENT,149999,Source Verified,2018-11-01,Fully Paid,home_improvement,MI,30.15502971329438,60,8
14146,23.9,A,OWN,74387,Source Verified,2017-05-01,Fully Paid,small_business,IL,33.48760302693755,36,5
13050,18.7,B,RENT,144965,Verified,2016-09-01,Fully Paid,vacation,NC,31.08058543768388,36,9
17757,14.9,B,MORTGAGE,33089,Source Verified,2015-11-01,Current,vacation,NC,19.499343460918816,36,0
24830,17.4,F,OWN,128827,Verified,2016-06-01,Current,major_purchase,CA,15.079109221415344,36,6
22429,22.4,C,MORTGAGE,50659,Verified,2018-06-01,Current,small_business,IL,9.634797086181145,36,2
11893,16.4,B,RENT,75178,Source Verified,2017-08-01,Fully Paid,major_purchase,NC,17.009644474618398,36,4
23077,5.6,C,MORTGAGE,125965,Source Verified,2017-04-01,Fully Paid,vacation,OH,15.994807374834902,36,9
19373,23.6,A,MORTGAGE,111268,Source Verified,2015-07-01,Fully Paid,medical,PA,21.7872452586762,36,3
19565,18.8,B,MORTGAGE,115042,Verified,2016-02-01,Fully Paid,medical,PA,24.965282262716403,36,9
8436,18.5,C,RENT,136471,Not Verified,2016-11-01,Fully Paid,car,OH,34.34976429335143,36,4
13754,9.3,C,OWN,100726,Source Verified,2015-08-01,Fully Paid,car,CA,26.851585583021976,60,4
15677,18.2,B,MORTGAGE,100111,Source Verified,2016-11-01,Late (16-30 days),car,FL,24.312455973287697,60,5
10895,12.9,G,RENT,136031,Source Verified,2016-12-01,Fully Paid,small_business,CA,15.052773028050275,36,9
24738,18.0,E,RENT,143682,Verified,2017-02-01,Fully Paid,car,PA,6.03511629494978,60,9
21609,7.1,C,OWN,64565,Verified,2015-10-01,Current,small_business,FL,13.643753865640754,60,10
20636,18.2,C,OWN,130435,Not Verified,2016-06-01,Fully Paid,small_business,CA,28.05343701378853,36,5
26277,25.0,C,RENT,119242,Source Verified,2016-07-01,Current,credit_card,NC,11.158158224114052,36,7
12022,6.0,B,RENT,143204,Verified,2017-08-01,Current,credit_card,FL,26.365645810223437,36,7
14151,24.5,B,RENT,52884,Not Verified,2015-06-01,Late (31-120 days),small_business,PA,22.39339527708248,60,10
10600,13.1,A,MORTGAGE,47199,Source Verified,2017-03-01,Fully Paid,medical,OH,10.155706092513944,60,8
34124,22.4,C,MORTGAGE,90038,Verified,2018-06-01,Charged Off,major_purchase,GA,12.848744188754898,36,7
32643,20.6,C,MORTGAGE,87786,Source Verified,2015-02-01,Fully Paid,vacation,NC,19.889108104594296,36,10
12996,16.3,B,MORTGAGE,139636,Source Verified,2018-12-01,Charged Off,vacation,NC,17.551241153235424,36,1
14007,19.8,F,OWN,134970,Verified,2016-12-01,Fully Paid,home_improvement,GA,28.356915426402782,60,9
17946,22.6,F,RENT,79294,Verified,2017-01-01,Fully Paid,debt_consolidation,MI,27.03213927629741,60,10
29067,13.1,D,RENT,108015,Verified,2017-10-01,Fully Paid,credit_card,NY,22.237235104190518,60,0
9642,11.5,C,RENT,64178,Source Verified,2018-04-01,Fully Paid,small_business,TX,29.66824134418776,60,9
34887,18.4,E,MORTGAGE,42665,Source Verified,2015-02-01,Current,debt_consolidation,IL,21.880086220529257,36,1
16312,21.2,A,OWN,30534,Not Verified,2017-12-01,Current,credit_card,CA,33.93167769971781,36,1
12679,20.2,D,RENT,121828,Source Verified,2016-11-01,Charged Off,home_improvement,NY,11.516722974532442,36,2
13208,21.0,A,RENT,66132,Verified,2015-11-01,Fully Paid,vacation,CA,26.42395980806458,36,9
28723,13.7,D,OWN,145720,Source Verified,2017-04-01,Current,major_purchase,NY,16.098323961634037,60,6
30819,21.4,B,MORTGAGE,66110,Not Verified,2018-07-01,Fully Paid,small_business,FL,13.368985832605816,60,1
23589,7.4,E,RENT,88754,Not Verified,2017-10-01,Current,home_improvement,OH,10.411624279031386,36,0
15716,15.9,F,MORTGAGE,93580,Verified,2016-06-01,Late (31-120 days),vacation,IL,21.575104287846315,36,5
22453,5.1,A,OWN,52469,Verified,2015-11-01,Fully Paid,medical,IL,11.464082982476338,60,8
8444,11.5,C,RENT,94016,Not Verified,2018-02-01,Current,credit_card,CA,11.01052554345218,36,2
15757,12.3,G,MORTGAGE,76233,Not Verified,2015-05-01,Fully Paid,small_business,GA,34.715957152514534,60,5
19434,12.9,C,RENT,132804,Not Verified,2018-08-01,Fully Paid,debt_consolidation,FL,29.052422505372824,36,2
6060,18.9,E,MORTGAGE,96708,Verified,2018-06-01,Fully Paid,medical,MI,27.44830460763126,36,0
23711,12.8,C,MORTGAGE,88232,Not Verified,2018-05-01,Fully Paid,vacation,IL,28.821818776482647,36,4
8420,14.0,B,MORTGAGE,123450,Not Verified,2017-03-01,Current,medical,TX,34.067686211562275,36,9
5301,9.8,B,MORTGAGE,116437,Verified,2015-02-01,Fully Paid,car,CA,22.198300662596104,36,10
17468,12.5,B,RENT,136311,Source Verified,2018-03-01,Fully Paid,major_purchase,NC,11.607316322085817,36,3
21990,9.5,D,MORTGAGE,64409,Source Verified,2017-03-01,Fully Paid,vacation,TX,30.86628922259717,36,6
24554,6.5,B,OWN,145159,Not Verified,2018-06-01,Current,medical,PA,27.281921883622704,60,5
5699,17.1,C,MORTGAGE,49324,Source Verified,2018-08-01,Late (31-120 days),credit_card,CA,17.429249370025193,60,9
26472,18.4,C,MORTGAGE,38738,Source Verified,2018-02-01,Current,major_purchase,CA,19.207084957239392,60,6
30715,17.4,C,MORTGAGE,133030,Source Verified,2017-11-01,Charged Off,small_business,NC,17.337571954366073,60,4
5190,14.3,E,MORTGAGE,140093,Source Verified,2015-01-01,Fully Paid,car,FL,32.898264806870124,60,3
15492,12.6,G,RENT,54054,Not Verified,2015-12-01,Fully Paid,vacation,NC,15.305948344948824,36,6
22364,22.3,B,MORTGAGE,59709,Source Verified,2017-10-01,Fully Paid,home_improvement,IL,33.90452835968517,36,6
7975,15.4,E,MORTGAGE,139321,Source Verified,2015-07-01,Fully Paid,major_purchase,OH,32.3081531376185,60,5
11102,14.6,D,MORTGAGE,115643,Verified,2018-01-01,Charged Off,debt_consolidation,CA,23.9156342674452,36,7
22568,5.5,C,MORTGAGE,30363,Not Verified,2015-05-01,Fully Paid,credit_card,PA,22.39465319300224,60,3
24711,11.8,F,RENT,40358,Verified,2018-04-01,Current,vacation,GA,16.102678402099126,60,9
24778,12.6,B,RENT,131613,Verified,2015-07-01,Fully Paid,debt_consolidation,CA,5.550151670319496,36,4
29703,13.0,A,OWN,145233,Not Verified,2017-07-01,Fully Paid,major_purchase,NC,8.828695587132598,36,3
31641,16.6,E,MORTGAGE,33240,Source Verified,2015-10-01,Fully Paid,vacation,NY,27.62693970048646,36,0
6816,15.7,B,RENT,102201,Verified,2015-07-01,Current,car,CA,19.14620379764496,60,7
27238,17.2,E,OWN,75689,Not Verified,2016-07-01,Current,home_improvement,CA,9.495144025639044,36,0
28093,20.3,E,RENT,31936,Source Verified,2017-08-01,Current,home_improvement,PA,12.91882562395613,60,4
5569,21.3,A,MORTGAGE,142272,Not Verified,2018-09-01,Fully Paid,debt_consolidation,PA,33.43510699541,60,5
10442,19.4,E,OWN,121074,Verified,2017-03-01,Late (16-30 days),small_business,CA,16.013985059307952,60,5
6895,24.1,B,RENT,73965,Source Verified,2018-04-01,Fully Paid,small_business,NY,32.2304583565746,36,4
24117,5.4,C,RENT,107534,Source Verified,2015-12-01,Fully Paid,car,OH,14.139074968807302,36,2
8863,8.9,C,RENT,30882,Not Verified,2017-07-01,Late (16-30 days),home_improvement,MI,21.296602831014827,60,4
17913,5.2,F,OWN,50224,Source Verified,2015-10-01,Fully Paid,debt_consolidation,NY,5.614312500865937,36,7
12455,17.9,A,RENT,135227,Verified,2018-07-01,Charged Off,debt_consolidation,NY,20.65625331120731,36,1
9014,23.0,C,RENT,149299,Verified,2018-01-01,Fully Paid,vacation,NY,24.10826031831891,36,5
16093,9.9,D,MORTGAGE,142012,Verified,2017-02-01,Fully Paid,vacation,OH,12.029152980115338,60,8
23070,23.5,D,MORTGAGE,60825,Not Verified,2017-11-01,Late (31-120 days),debt_consolidation,FL,22.36811528616071,60,7
8009,6.2,D,OWN,100740,Source Verified,2017-02-01,Fully Paid,vacation,FL,24.415033161529564,36,10
29190,23.7,A,MORTGAGE,58885,Source Verified,2017-09-01,Charged Off,major_purchase,NY,25.60658235145269,60,7
21538,12.0,B,RENT,70056,Source Verified,2017-02-01,Fully Paid,vacation,MI,28.29209966066309,36,7
15729,7.0,B,MORTGAGE,33203,Verified,2017-04-01,Charged Off,car,NC,14.340177287882495,36,6
6409,14.7,E,MORTGAGE,90241,Source Verified,2015-02-01,Fully Paid,small_business,TX,22.033308692956343,36,7
17249,10.1,B,OWN,32244,Verified,2015-07-01,Fully Paid,small_business,FL,34.44737089293783,36,5
5784,10.7,B,RENT,128322,Source Verified,2015-05-01,Fully Paid,major_purchase,GA,31.94432511995472,60,1
32751,11.1,F,OWN,145329,Verified,2018-05-01,Fully Paid,credit_card,PA,33.57996284295099,60,1
13096,21.1,A,OWN,98619,Source Verified,2017-12-01,Late (31-120 days),major_purchase,OH,16.58409195585714,60,7
12560,15.8,G,MORTGAGE,51584,Not Verified,2016-07-01,Fully Paid,car,OH,28.60784317689985,36,10
