loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti
15230, 60 months,14.8%,B,9 years,MORTGAGE,34136,Not Verified,Feb-2016,Fully Paid,medical,MI,23.007590988005152
20707, 36 months,6.3%,B,6 years,OWN,91868,Not Verified,Aug-2017,Charged Off,vacation,NY,8.54163521780156
26976, 60 months,16.6%,B,8 years,RENT,112263,Verified,Oct-2015,Fully Paid,small_business,GA,6.6882496433372225
16494, 60 months,10.4%,D,4 years,RENT,62167,Verified,May-2016,Fully Paid,medical,PA,17.359819684765178
31813, 36 months,21.0%,C,9 years,RENT,140957,Source Verified,Jul-2017,Fully Paid,debt_consolidation,OH,22.367495977781523
28776, 36 months,11.2%,E,3 years,MORTGAGE,45479,Not Verified,Aug-2018,Fully Paid,small_business,TX,16.78097340076824
6306, 36 months,14.1%,B,7 years,OWN,149392,Not Verified,Jul-2016,Fully Paid,small_business,PA,22.33207310482526
33605, 60 months,5.2%,C,8 years,MORTGAGE,61376,Verified,Jul-2018,Current,vacation,GA,20.45253128515355
11776, 36 months,6.4%,C,6 years,RENT,34823,Verified,May-2016,Late (31-120 days),car,GA,25.571216878582277
32251, 60 months,12.8%,C,6 years,OWN,100456,Source Verified,Jun-2018,Fully Paid,vacation,FL,24.485972931961694
34644, 36 months,14.6%,D,4 years,RENT,49585,Source Verified,Oct-2016,Fully Paid,vacation,PA,17.727371096197402
27248, 60 months,17.0%,B,3 years,RENT,133775,Verified,Dec-2018,Fully Paid,small_business,IL,17.7498572125959
14474, 60 months,10.8%,C,9 years,MORTGAGE,47272,Not Verified,Sep-2017,Fully Paid,home_improvement,NC,9.22335020036696
12526, 36 months,18.9%,A,< 1 year,OWN,56619,Source Verified,Jun-2018,Fully Paid,car,GA,20.397157162893777
30285, 60 months,22.2%,B,9 years,RENT,105069,Verified,May-2017,Current,small_business,TX,22.615373844070902
26959, 60 months,20.6%,C,9 years,MORTGAGE,69895,Verified,Dec-2017,Late (16-30 days),car,OH,19.294681920614785
10530, 36 months,5.8%,D,6 years,RENT,33720,Not Verified,Oct-2016,Late (31-120 days),major_purchase,OH,14.77122005260997
34320, 60 months,14.6%,F,< 1 year,MORTGAGE,49267,Verified,Apr-2017,Fully Paid,car,CA,26.649456327552077
25797, 36 months,7.1%,C,< 1 year,RENT,45696,Verified,Dec-2017,Current,credit_card,CA,7.239849339356722
8748, 60 months,9.8%,D,4 years,RENT,59968,Source Verified,Aug-2017,Current,home_improvement,FL,32.43321109262142
18545, 36 months,24.7%,C,8 years,RENT,83364,Verified,Jul-2017,Fully Paid,debt_consolidation,IL,5.6193031863737986
34355, 36 months,7.8%,C,5 years,RENT,53345,Verified,Jul-2015,Fully Paid,credit_card,FL,33.87050400314834
5663, 60 months,15.0%,A,2 years,RENT,81567,Source Verified,Jul-2016,Current,credit_card,OH,18.870668028039873
6998, 60 months,17.4%,B,2 years,MORTGAGE,121229,Not Verified,Feb-2016,Fully Paid,vacation,NY,17.380098320106235
12994, 60 months,19.0%,B,6 years,MORTGAGE,91607,Not Verified,Mar-2016,Fully Paid,vacation,OH,12.693320523895643
33021, 60 months,16.2%,C,5 years,MORTGAGE,49385,Source Verified,Sep-2018,Fully Paid,credit_card,GA,5.302134044968495
33319, 60 months,5.2%,A,8 years,RENT,113658,Source Verified,Mar-2016,Fully Paid,small_business,PA,13.243707932653994
22879, 36 months,11.5%,A,5 years,OWN,96900,Not Verified,Sep-2018,Fully Paid,car,PA,8.281997763810018
8304, 60 months,15.4%,B,4 years,RENT,98244,Not Verified,Oct-2015,Late (31-120 days),car,GA,24.794625280801842
25147, 36 months,6.8%,G,9 years,RENT,95425,Not Verified,Apr-2016,Charged Off,medical,GA,14.572249169621788
26616, 36 months,12.0%,B,6 years,MORTGAGE,108518,Not Verified,Dec-2015,Charged Off,small_business,OH,28.015379852109845
23237, 60 months,5.7%,C,< 1 year,OWN,112844,Not Verified,Mar-2017,Fully Paid,home_improvement,PA,11.207485620383508
18808, 36 months,6.6%,A,6 years,RENT,62919,Source Verified,Jul-2017,Charged Off,small_business,PA,32.007045722963284
11585, 36 months,12.9%,C,2 years,RENT,120697,Verified,Nov-2018,Fully Paid,small_business,MI,20.689445453174976
34235, 36 months,7.7%,B,8 years,MORTGAGE,87196,Not Verified,Oct-2017,Fully Paid,small_business,PA,8.435185894069441
22675, 36 months,16.4%,B,5 years,RENT,145600,Not Verified,Apr-2017,Fully Paid,home_improvement,GA,17.025357069604368
24965, 60 months,18.8%,C,8 years,OWN,130625,Verified,Mar-2017,Fully Paid,medical,CA,11.202815722092849
16649, 36 months,21.0%,A,4 years,OWN,109401,Verified,Dec-2015,Fully Paid,home_improvement,IL,10.990562785045377
28938, 60 months,9.0%,A,6 years,RENT,30495,Verified,Nov-2017,Fully Paid,major_purchase,NY,20.191092129566268
28664, 60 months,8.3%,B,3 years,RENT,74755,Verified,Jan-2018,Fully Paid,medical,GA,25.15676046909118
6636, 36 months,7.1%,A,6 years,RENT,97684,Verified,Oct-2017,Fully Paid,major_purchase,PA,32.348546165102846
25080, 60 months,17.7%,A,< 1 year,MORTGAGE,63324,Verified,Jun-2017,Late (16-30 days),major_purchase,TX,20.064860322909603
32575, 60 months,19.1%,B,6 years,OWN,108929,Source Verified,May-2015,Fully Paid,major_purchase,OH,33.975163251749905
32728, 60 months,5.6%,E,7 years,MORTGAGE,31552,Verified,Feb-2017,Charged Off,car,OH,33.24904556220106
22082, 36 months,23.7%,C,4 years,MORTGAGE,81272,Verified,Feb-2018,Fully Paid,credit_card,IL,30.951875899530812
31736, 60 months,6.0%,C,1 year,MORTGAGE,65853,Source Verified,Jun-2016,Fully Paid,credit_card,GA,19.99931794887256
33673, 60 months,15.8%,B,4 years,OWN,148192,Verified,Nov-2017,Late (16-30 days),major_purchase,IL,9.227118310639506
9737, 60 months,19.2%,F,5 years,OWN,62924,Not Verified,Aug-2018,Fully Paid,major_purchase,CA,11.537134094461548
19555, 36 months,22.4%,B,1 year,MORTGAGE,104462,Not Verified,Nov-2016,Fully Paid,debt_consolidation,NC,24.430100081359267
18877, 60 months,19.3%,A,5 years,MORTGAGE,126387,Verified,Feb-2015,Charged Off,vacation,FL,17.652649408525882
5854, 36 months,21.0%,C,5 years,OWN,53889,Source Verified,Feb-2015,Fully Paid,credit_card,TX,9.404048952619892
29548, 36 months,11.8%,A,< 1 year,MORTGAGE,135466,Not Verified,Jan-2016,Current,vacation,FL,19.369818009179312
10855, 36 months,21.3%,B,< 1 year,RENT,84675,Source Verified,Feb-2018,Fully Paid,vacation,NC,5.522916365061378
12392, 36 months,6.6%,C,10+ years,OWN,103591,Not Verified,Jul-2018,Fully Paid,debt_consolidation,TX,27.0168611269878
27912, 36 months,22.9%,E,9 years,RENT,100190,Verified,May-2016,Fully Paid,vacation,FL,7.207438834690726
33050, 36 months,16.0%,C,2 years,RENT,52634,Source Verified,Dec-2015,Fully Paid,medical,TX,23.87340859736357
18949, 60 months,21.3%,D,9 years,RENT,62363,Source Verified,Jun-2018,Current,debt_consolidation,IL,28.79030922876798
26633, 36 months,14.0%,G,9 years,MORTGAGE,93752,Source Verified,Aug-2015,Charged Off,vacation,NY,8.979316233618967
26556, 60 months,17.9%,A,2 years,OWN,107004,Not Verified,Mar-2018,Fully Paid,vacation,MI,20.559160719980376
23091, 60 months,15.5%,B,3 years,RENT,86398,Not Verified,Nov-2015,Fully Paid,small_business,TX,28.37202543078409
32353, 36 months,19.6%,B,1 year,OWN,128458,Not Verified,Nov-2018,Charged Off,vacation,NC,12.819003642710042
10791, 60 months,6.6%,B,8 years,OWN,70718,Verified,Jan-2016,Fully Paid,car,IL,9.887497790048574
31309, 60 months,6.2%,B,9 years,RENT,143627,Not Verified,Aug-2018,Fully Paid,medical,MI,15.104573329023706
26919, 60 months,9.9%,F,10+ years,MORTGAGE,112916,Verified,May-2015,Fully Paid,home_improvement,IL,21.640975297499473
9931, 60 months,8.2%,D,6 years,MORTGAGE,56870,Source Verified,Aug-2015,Fully Paid,credit_card,CA,22.2583878456425
24894, 36 months,22.4%,C,6 years,MORTGAGE,67394,Source Verified,Oct-2016,Charged Off,major_purchase,PA,8.92629000373061
5202, 60 months,9.4%,B,5 years,MORTGAGE,82057,Verified,Sep-2018,Late (16-30 days),vacation,OH,18.72706543021915
16447, 36 months,24.5%,E,2 years,OWN,109795,Not Verified,Jul-2017,Fully Paid,medical,CA,13.048465866184635
25602, 60 months,11.7%,F,5 years,RENT,110409,Verified,Feb-2017,Fully Paid,major_purchase,NC,30.26072654194852
17688, 60 months,8.6%,E,7 years,RENT,43016,Source Verified,May-2016,Fully Paid,home_improvement,GA,14.407253961920922
30342, 36 months,20.8%,A,7 years,RENT,72137,Source Verified,Apr-2016,Fully Paid,medical,GA,30.161135736015787
9389, 60 months,18.2%,C,10+ years,MORTGAGE,30153,Verified,Sep-2017,Fully Paid,credit_card,OH,17.856938378053762
7327, 60 months,15.0%,A,8 years,RENT,37853,Not Verified,Dec-2016,Current,medical,IL,26.7975729747936
13004, 60 months,16.1%,B,< 1 year,RENT,42379,Not Verified,Jul-2016,Fully Paid,major_purchase,NY,20.301806856324312
24315, 36 months,19.4%,A,< 1 year,MORTGAGE,45792,Verified,Aug-2016,Fully Paid,major_purchase,NC,23.658878723929295
12777, 60 months,9.6%,C,2 years,MORTGAGE,68367,Verified,Jun-2017,Fully Paid,small_business,OH,16.860695325841494
5197, 36 months,24.9%,D,2 years,MORTGAGE,48100,Not Verified,Aug-2017,Fully Paid,vacation,MI,28.04620303422472
28509, 60 months,24.5%,A,9 years,RENT,143089,Source Verified,Nov-2017,Fully Paid,debt_consolidation,MI,17.75568150720975
6930, 36 months,18.0%,B,7 years,RENT,93456,Verified,Jan-2016,Current,medical,GA,18.723849397574657
16774, 36 months,9.0%,C,9 years,RENT,41049,Not Verified,Jun-2018,Fully Paid,major_purchase,PA,20.530360046928717
20087, 60 months,18.6%,B,< 1 year,RENT,30786,Not Verified,Jun-2015,Charged Off,car,IL,29.954723551579505
27671, 60 months,6.4%,A,1 year,RENT,99904,Source Verified,Nov-2018,Fully Paid,credit_card,GA,24.781367858043946
30184, 36 months,5.6%,B,1 year,OWN,60699,Source Verified,Aug-2016,Fully Paid,car,NY,15.474811596972494
32848, 36 months,10.2%,D,2 years,MORTGAGE,77691,Source Verified,Dec-2017,Fully Paid,home_improvement,OH,25.109589019446286
14339, 60 months,14.3%,A,5 years,RENT,67040,Source Verified,Jan-2015,Fully Paid,medical,TX,24.272797190257318
25666, 36 months,22.4%,A,< 1 year,MORTGAGE,148455,Source Verified,Apr-2016,Fully Paid,small_business,NY,32.93057827639113
16589, 60 months,19.5%,B,1 year,MORTGAGE,122990,Verified,Sep-2015,Fully Paid,credit_card,TX,30.2424930807605
23895, 60 months,19.9%,F,< 1 year,RENT,87986,Not Verified,Dec-2015,Charged Off,small_business,IL,24.423407712537443
20708, 60 months,13.5%,D,4 years,MORTGAGE,68762,Verified,May-2016,Charged Off,debt_consolidation,OH,15.245213320521309
31370, 60 months,11.9%,D,6 years,RENT,53600,Verified,May-2015,Fully Paid,major_purchase,MI,28.387293465838084
22043, 36 months,12.4%,B,7 years,RENT,124774,Verified,Oct-2016,Fully Paid,vacation,MI,22.25624879188403
7811, 60 months,24.8%,C,9 years,MORTGAGE,120777,Verified,Aug-2017,Fully Paid,credit_card,CA,34.55809964302705
28482, 36 months,5.8%,A,< 1 year,RENT,49810,Verified,Sep-2015,Fully Paid,home_improvement,MI,12.42518385709412
19243, 60 months,22.3%,C,6 years,MORTGAGE,115703,Source Verified,Jan-2018,Fully Paid,vacation,NC,7.389675227926609
11546, 36 months,16.6%,F,4 years,RENT,117347,Source Verified,Sep-2017,Current,medical,CA,7.096754356638431
30945, 60 months,13.8%,C,9 years,OWN,135315,Not Verified,Aug-2016,Fully Paid,debt_consolidation,CA,24.20091165055041
6986, 36 months,19.5%,E,< 1 year,OWN,87204,Verified,Sep-2015,Fully Paid,debt_consolidation,MI,33.177806867345716
13338, 36 months,14.7%,D,2 years,RENT,50085,Not Verified,Sep-2017,Fully Paid,small_business,GA,5.057957428745156
16411, 60 months,22.5%,A,6 years,RENT,76854,Source Verified,Nov-2018,Fully Paid,debt_consolidation,PA,26.77313140873332
7911, 60 months,23.0%,F,9 years,MORTGAGE,104797,Source Verified,Oct-2015,Charged Off,credit_card,PA,24.71195547598836
6734, 60 months,13.4%,A,< 1 year,MORTGAGE,114269,Source Verified,Jan-2015,Fully Paid,small_business,NC,26.969125766583975
23227, 60 months,10.5%,C,6 years,MORTGAGE,69779,Verified,Sep-2017,Fully Paid,vacation,FL,15.662162202870068
13680, 36 months,16.8%,A,4 years,OWN,86207,Verified,Jun-2018,Charged Off,debt_consolidation,GA,29.61489333973565
24360, 60 months,23.2%,A,< 1 year,MORTGAGE,124615,Source Verified,Jul-2015,Fully Paid,medical,FL,6.341207942565859
23343, 36 months,9.2%,B,< 1 year,MORTGAGE,63980,Not Verified,Oct-2016,Current,vacation,TX,27.662933018660826
10759, 36 months,17.5%,B,< 1 year,MORTGAGE,86117,Not Verified,Jul-2018,Fully Paid,home_improvement,GA,13.012158240472631
28078, 60 months,17.6%,C,10+ years,OWN,44141,Source Verified,Aug-2015,Fully Paid,medical,OH,19.305133245742148
7385, 36 months,19.7%,C,8 years,MORTGAGE,39344,Not Verified,Aug-2016,Charged Off,car,FL,29.679088146716616
16111, 36 months,7.6%,A,10+ years,MORTGAGE,135008,Source Verified,Apr-2015,Fully Paid,credit_card,NC,13.14077105573411
9736, 36 months,19.3%,A,2 years,RENT,45896,Not Verified,Dec-2018,Fully Paid,home_improvement,NC,10.556225349316804
6802, 36 months,23.2%,C,4 years,MORTGAGE,119353,Source Verified,Mar-2015,Fully Paid,home_improvement,GA,25.439395560436527
13155, 60 months,8.6%,B,10+ years,OWN,59813,Not Verified,Apr-2017,Fully Paid,small_business,CA,21.001846745204137
13120, 60 months,9.8%,D,9 years,RENT,114431,Verified,Jun-2017,Charged Off,major_purchase,OH,20.432116062385536
11616, 60 months,24.4%,D,8 years,RENT,95679,Source Verified,Jul-2018,Current,small_business,IL,12.703085466137395
19257, 60 months,8.6%,E,5 years,RENT,40681,Source Verified,Apr-2018,Late (16-30 days),credit_card,OH,6.0464091746008295
19486, 36 months,22.1%,D,8 years,OWN,102903,Not Verified,Jul-2016,Charged Off,credit_card,NC,17.308074149951505
26918, 36 months,14.8%,B,7 years,MORTGAGE,33228,Source Verified,Nov-2018,Fully Paid,small_business,TX,8.19678441403304
25445, 60 months,9.9%,D,7 years,RENT,34582,Source Verified,Jan-2016,Fully Paid,major_purchase,FL,32.179674519476066
32945, 60 months,22.4%,B,< 1 year,MORTGAGE,108683,Source Verified,Nov-2017,Fully Paid,medical,FL,6.237509704151916
21646, 60 months,13.9%,B,8 years,MORTGAGE,41397,Verified,Dec-2017,Fully Paid,small_business,TX,17.949525625531443
19075, 36 months,15.3%,D,5 years,RENT,68799,Verified,Nov-2017,Fully Paid,credit_card,NY,6.567367511024837
27671, 60 months,12.2%,B,8 years,MORTGAGE,67011,Not Verified,Jul-2016,Late (31-120 days),major_purchase,GA,7.866316236942989
30199, 60 months,16.9%,D,2 years,MORTGAGE,109183,Verified,Oct-2018,Fully Paid,credit_card,NC,24.76600000766066
14208, 60 months,8.3%,E,2 years,MORTGAGE,123254,Not Verified,Sep-2015,Fully Paid,major_purchase,PA,24.413337829222836
21371, 36 months,12.8%,E,5 years,MORTGAGE,74264,Verified,Feb-2015,Fully Paid,major_purchase,MI,5.991565846383193
16835, 36 months,24.4%,F,8 years,MORTGAGE,72317,Not Verified,Jul-2017,Current,vacation,TX,5.033944253626106
18168, 36 months,10.2%,B,6 years,MORTGAGE,77914,Verified,Apr-2015,Charged Off,small_business,TX,7.3645423172835205
7049, 36 months,18.1%,B,2 years,RENT,114633,Verified,Aug-2018,Charged Off,small_business,OH,27.889966931358266
10423, 36 months,11.5%,C,2 years,MORTGAGE,132489,Not Verified,Jan-2016,Fully Paid,small_business,GA,22.537294182545214
19589, 36 months,20.5%,B,1 year,MORTGAGE,75254,Source Verified,Feb-2018,Current,major_purchase,GA,6.143547355654748
33299, 36 months,7.6%,C,8 years,OWN,70096,Source Verified,Dec-2017,Fully Paid,major_purchase,PA,19.642910476184817
25932, 36 months,24.4%,D,2 years,RENT,83785,Verified,Aug-2017,Current,credit_card,MI,26.36088071163354
24492, 60 months,14.1%,D,10+ years,MORTGAGE,82344,Not Verified,Jan-2018,Fully Paid,home_improvement,GA,31.06854183802419
34855, 60 months,9.7%,B,4 years,RENT,144988,Source Verified,Oct-2018,Fully Paid,small_business,CA,33.02109471977032
33666, 36 months,6.5%,A,8 years,MORTGAGE,112643,Not Verified,May-2015,Fully Paid,vacation,NC,14.823216888622
12158, 36 months,8.4%,B,7 years,RENT,98546,Source Verified,Jul-2018,Charged Off,car,CA,9.074972852397972
15248, 60 months,15.4%,A,1 year,RENT,101091,Not Verified,Nov-2015,Fully Paid,credit_card,NY,12.107777621943423
12400, 36 months,11.7%,E,2 years,OWN,95603,Verified,Jul-2015,Current,credit_card,NC,28.285144761206713
24554, 36 months,21.6%,B,1 year,RENT,58412,Not Verified,May-2018,Fully Paid,debt_consolidation,IL,34.144526451269314
14874, 36 months,13.6%,A,7 years,MORTGAGE,140489,Source Verified,Oct-2017,Fully Paid,small_business,NC,18.991808520811418
20151, 60 months,10.0%,A,5 years,MORTGAGE,81658,Verified,Jun-2015,Fully Paid,medical,NC,14.160596406433694
23639, 60 months,17.3%,C,5 years,MORTGAGE,129841,Not Verified,Dec-2017,Fully Paid,credit_card,PA,17.875717458801034
6154, 60 months,19.1%,C,8 years,RENT,79549,Source Verified,Sep-2017,Fully Paid,debt_consolidation,CA,14.144394339353973
9499, 60 months,8.3%,B,7 years,RENT,41549,Verified,Mar-2017,Fully Paid,car,MI,12.69462569621463
11295, 60 months,8.4%,A,3 years,MORTGAGE,101216,Not Verified,Jul-2017,Charged Off,vacation,OH,22.812522572215386
27581, 36 months,5.7%,B,3 years,MORTGAGE,55739,Source Verified,Jun-2018,Fully Paid,car,PA,5.472079411206332
32767, 60 months,19.7%,B,8 years,OWN,51209,Not Verified,Mar-2016,Late (16-30 days),medical,NC,12.786567459949644
31272, 36 months,18.3%,D,< 1 year,OWN,137051,Not Verified,Jul-2015,Fully Paid,small_business,OH,24.84146233534967
17183, 36 months,14.5%,C,1 year,RENT,117968,Verified,Jul-2016,Current,major_purchase,FL,5.961880889204151
34299, 60 months,21.9%,B,1 year,MORTGAGE,45116,Verified,Jun-2016,Fully Paid,debt_consolidation,OH,7.49605449526805
17874, 60 months,21.1%,B,5 years,MORTGAGE,50045,Source Verified,Aug-2015,Fully Paid,major_purchase,TX,13.801884343573544
23032, 36 months,16.7%,G,3 years,RENT,56327,Verified,Apr-2017,Fully Paid,car,PA,31.334143958269546
10539, 36 months,22.4%,C,10+ years,RENT,65709,Source Verified,Jan-2016,Fully Paid,car,PA,27.946584804958885
14637, 36 months,9.1%,D,9 years,MORTGAGE,73617,Not Verified,Jan-2016,Current,home_improvement,TX,5.664698882487306
25583, 60 months,7.2%,A,2 years,RENT,90139,Not Verified,Dec-2018,Fully Paid,home_improvement,FL,20.051384500654756
33499, 60 months,10.4%,C,2 years,RENT,56905,Source Verified,Nov-2018,Fully Paid,vacation,GA,13.240624819622504
29829, 60 months,6.1%,A,2 years,OWN,94148,Not Verified,Aug-2017,Current,medical,GA,24.459369771861887
20586, 60 months,15.6%,C,5 years,RENT,102603,Verified,Dec-2016,Fully Paid,home_improvement,GA,26.646616477803835
32759, 60 months,23.7%,F,7 years,RENT,128095,Not Verified,Jan-2018,Charged Off,home_improvement,GA,30.885877313878474
7557, 36 months,5.8%,B,10+ years,MORTGAGE,149779,Verified,Nov-2016,Fully Paid,medical,CA,19.26248711312043
10592, 60 months,7.4%,A,6 years,MORTGAGE,72919,Source Verified,Feb-2018,Current,credit_card,TX,34.833502656367536
21482, 36 months,14.0%,A,3 years,MORTGAGE,113521,Source Verified,Jan-2018,Fully Paid,home_improvement,FL,34.39958321861328
7200, 36 months,23.7%,B,10+ years,MORTGAGE,122905,Not Verified,Mar-2018,Fully Paid,credit_card,NC,31.465001734130993
19172, 36 months,11.3%,A,3 years,OWN,113400,Not Verified,Aug-2018,Fully Paid,credit_card,NY,22.246084854742126
7961, 60 months,15.1%,A,10+ years,MORTGAGE,118150,Verified,Jun-2016,Late (31-120 days),small_business,PA,16.94019312511445
19207, 60 months,5.8%,D,9 years,RENT,88446,Verified,May-2015,Fully Paid,credit_card,OH,15.93158930419355
26357, 60 months,8.0%,C,10+ years,MORTGAGE,82428,Not Verified,Sep-2018,Fully Paid,credit_card,GA,5.363742502632345
25817, 36 months,24.7%,B,10+ years,MORTGAGE,77894,Not Verified,Oct-2017,Charged Off,home_improvement,OH,12.475234917270996
16969, 36 months,24.3%,F,10+ years,RENT,111149,Source Verified,Dec-2018,Late (31-120 days),credit_card,NY,26.564247048474936
7869, 36 months,5.1%,A,1 year,RENT,36447,Source Verified,Dec-2017,Current,major_purchase,PA,23.108962996791995
32810, 36 months,24.0%,F,< 1 year,OWN,35499,Source Verified,Jan-2017,Late (16-30 days),medical,IL,32.492665675026004
33367, 36 months,17.8%,B,8 years,RENT,69041,Not Verified,Sep-2017,Fully Paid,home_improvement,MI,6.500668007496736
22340, 36 months,22.4%,E,1 year,RENT,61315,Not Verified,Oct-2018,Fully Paid,medical,FL,9.658298095319918
18992, 60 months,14.1%,C,7 years,MORTGAGE,31299,Not Verified,Dec-2018,Charged Off,debt_consolidation,CA,28.677313680563906
33643, 60 months,15.3%,E,8 years,MORTGAGE,135005,Source Verified,Sep-2017,Current,home_improvement,OH,15.755228935860014
29736, 60 months,14.8%,G,3 years,OWN,34994,Not Verified,Feb-2017,Fully Paid,credit_card,GA,8.550360011536338
10699, 60 months,18.3%,B,7 years,RENT,125414,Verified,Jun-2016,Fully Paid,major_purchase,TX,34.893515153002674
28328, 36 months,7.8%,F,8 years,RENT,111163,Not Verified,Dec-2017,Current,medical,OH,28.617509080080886
25877, 36 months,5.6%,B,9 years,MORTGAGE,37489,Not Verified,Apr-2017,Fully Paid,home_improvement,PA,17.262231102743677
30876, 60 months,11.2%,B,9 years,OWN,121647,Not Verified,Feb-2016,Fully Paid,major_purchase,IL,29.70042430838421
26295, 36 months,19.1%,B,4 years,RENT,62355,Not Verified,Aug-2016,Fully Paid,medical,FL,25.4181161035746
8987, 60 months,9.0%,C,6 years,OWN,103805,Not Verified,Sep-2016,Fully Paid,debt_consolidation,TX,28.699242787095
31103, 60 months,18.5%,A,9 years,RENT,98367,Verified,May-2016,Current,car,MI,29.456191326969495
27399, 60 months,24.4%,C,3 years,OWN,139906,Verified,Aug-2015,Fully Paid,vacation,PA,7.5418604987095375
18446, 36 months,6.9%,C,< 1 year,MORTGAGE,147409,Not Verified,Oct-2018,Charged Off,vacation,IL,23.68918663064287
6218, 60 months,18.5%,D,2 years,OWN,107355,Source Verified,Jun-2017,Fully Paid,debt_consolidation,TX,5.2035665893048275
25880, 60 months,13.9%,E,4 years,MORTGAGE,146220,Not Verified,Nov-2016,Fully Paid,car,MI,6.303687389035119
9735, 60 months,22.4%,B,2 years,RENT,120349,Not Verified,Aug-2015,Charged Off,small_business,OH,32.119400271675225
16296, 36 months,8.5%,B,10+ years,MORTGAGE,117173,Not Verified,Dec-2015,Fully Paid,car,PA,20.826911640704168
32311, 36 months,18.9%,B,6 years,MORTGAGE,31996,Source Verified,Dec-2016,Fully Paid,small_business,NC,27.077059576055746
9555, 60 months,21.8%,A,8 years,RENT,149999,Source Verified,Nov-2018,Fully Paid,home_improvement,MI,30.15502971329438
14146, 36 months,23.9%,A,5 years,OWN,74387,Source Verified,May-2017,Fully Paid,small_business,IL,33.48760302693755
13050, 36 months,18.7%,B,9 years,RENT,144965,Verified,Sep-2016,Fully Paid,vacation,NC,31.080585437683876
17757, 36 months,14.9%,B,< 1 year,MORTGAGE,33089,Source Verified,Nov-2015,Current,vacation,NC,19.499343460918816
24830, 36 months,17.4%,F,6 years,OWN,128827,Verified,Jun-2016,Current,major_purchase,CA,15.079109221415344
22429, 36 months,22.4%,C,2 years,MORTGAGE,50659,Verified,Jun-2018,Current,small_business,IL,9.634797086181145
11893, 36 months,16.4%,B,4 years,RENT,75178,Source Verified,Aug-2017,Fully Paid,major_purchase,NC,17.009644474618398
23077, 36 months,5.6%,C,9 years,MORTGAGE,125965,Source Verified,Apr-2017,Fully Paid,vacation,OH,15.994807374834902
19373, 36 months,23.6%,A,3 years,MORTGAGE,111268,Source Verified,Jul-2015,Fully Paid,medical,PA,21.7872452586762
19565, 36 months,18.8%,B,9 years,MORTGAGE,115042,Verified,Feb-2016,Fully Paid,medical,PA,24.965282262716403
8436, 36 months,18.5%,C,4 years,RENT,136471,Not Verified,Nov-2016,Fully Paid,car,OH,34.34976429335143
13754, 60 months,9.3%,C,4 years,OWN,100726,Source Verified,Aug-2015,Fully Paid,car,CA,26.851585583021976
15677, 60 months,18.2%,B,5 years,MORTGAGE,100111,Source Verified,Nov-2016,Late (16-30 days),car,FL,24.312455973287697
10895, 36 months,12.9%,G,9 years,RENT,136031,Source Verified,Dec-2016,Fully Paid,small_business,CA,15.052773028050277
24738, 60 months,18.0%,E,9 years,RENT,143682,Verified,Feb-2017,Fully Paid,car,PA,6.03511629494978
21609, 60 months,7.1%,C,10+ years,OWN,64565,Verified,Oct-2015,Current,small_business,FL,13.643753865640754
20636, 36 months,18.2%,C,5 years,OWN,130435,Not Verified,Jun-2016,Fully Paid,small_business,CA,28.053437013788532
26277, 36 months,25.0%,C,7 years,RENT,119242,Source Verified,Jul-2016,Current,credit_card,NC,11.158158224114052
12022, 36 months,6.0%,B,7 years,RENT,143204,Verified,Aug-2017,Current,credit_card,FL,26.365645810223434
14151, 60 months,24.5%,B,10+ years,RENT,52884,Not Verified,Jun-2015,Late (31-120 days),small_business,PA,22.393395277082476
10600, 60 months,13.1%,A,8 years,MORTGAGE,47199,Source Verified,Mar-2017,Fully Paid,medical,OH,10.155706092513945
34124, 36 months,22.4%,C,7 years,MORTGAGE,90038,Verified,Jun-2018,Charged Off,major_purchase,GA,12.848744188754898
32643, 36 months,20.6%,C,10+ years,MORTGAGE,87786,Source Verified,Feb-2015,Fully Paid,vacation,NC,19.889108104594296
12996, 36 months,16.3%,B,1 year,MORTGAGE,139636,Source Verified,Dec-2018,Charged Off,vacation,NC,17.551241153235424
14007, 60 months,19.8%,F,9 years,OWN,134970,Verified,Dec-2016,Fully Paid,home_improvement,GA,28.356915426402786
17946, 60 months,22.6%,F,10+ years,RENT,79294,Verified,Jan-2017,Fully Paid,debt_consolidation,MI,27.03213927629741
29067, 60 months,13.1%,D,< 1 year,RENT,108015,Verified,Oct-2017,Fully Paid,credit_card,NY,22.237235104190514
9642, 60 months,11.5%,C,9 years,RENT,64178,Source Verified,Apr-2018,Fully Paid,small_business,TX,29.668241344187756
34887, 36 months,18.4%,E,1 year,MORTGAGE,42665,Source Verified,Feb-2015,Current,debt_consolidation,IL,21.880086220529257
16312, 36 months,21.2%,A,1 year,OWN,30534,Not Verified,Dec-2017,Current,credit_card,CA,33.93167769971781
12679, 36 months,20.2%,D,2 years,RENT,121828,Source Verified,Nov-2016,Charged Off,home_improvement,NY,11.516722974532442
13208, 36 months,21.0%,A,9 years,RENT,66132,Verified,Nov-2015,Fully Paid,vacation,CA,26.42395980806458
28723, 60 months,13.7%,D,6 years,OWN,145720,Source Verified,Apr-2017,Current,major_purchase,NY,16.098323961634037
30819, 60 months,21.4%,B,1 year,MORTGAGE,66110,Not Verified,Jul-2018,Fully Paid,small_business,FL,13.368985832605816
